"","LSG2h_Input","LSG2h_Pool1","LSG2h_Pool2","LSG2h_Pool3","LSG6h_Input","LSG6h_Pool1","LSG6h_Pool2","LSG6h_Pool3"
"Zyg11b",-1.10639705974415,-0.919573696224493,-1.25908504974583,-1.63151390311177,-0.573790162904148,-0.510865957181642,-0.730550271674472,-1.00375073723311
"Tiparp",2.33923506232235,2.45789451073341,2.22430486264001,2.21364547931123,2.05850440597896,2.23650847372332,1.96125387498835,2.02769180754294
"Cd300ld",-0.40239293550349,-0.348554367682516,-0.535299453906535,-0.629667438515391,-1.22369832438707,-1.24086151873194,-1.69244313404638,-1.69454713486554
"Cd300a",-1.01516719229777,-0.905687107068315,-0.95868143317905,-1.13125238087498,-1.96947828487331,-1.81381477374576,-2.12710896446512,-2.70626921212844
"Pbx2",-1.00040933805293,-1.00941562248494,-1.13388680305998,-1.3153166108148,-0.200782578082519,-0.172598902243021,-0.0249263228920498,-0.456144120658122
"Tdg",0.591627822539438,0.747188788303546,0.320631973779597,1.07159033226295,1.19037799787567,1.2681269381783,1.14621150461286,1.61231693836274
"Ppp1r21",-1.62731383924447,-1.75518167451545,-1.90726526773827,-2.03699820419314,-1.44819972686671,-1.23155600868445,-1.32243564749774,-1.57827237208415
"Dgkh",1.13755827921481,1.69537306920541,1.39302909017593,1.7450356301807,1.82286590282885,2.24656762572668,1.84273650959638,2.84763762129279
"Nostrin",-0.218729281619762,-0.884104467178271,-0.906392500792711,-0.0790477313250446,-0.952945468231946,-0.972222986992586,-1.25921451398755,-0.702312681973484
"Sirt6",-0.827836700461931,-0.636924382049533,-0.73078481850056,-1.12459934518848,-0.126516654051961,0.142462619985912,-0.156478246013648,0.0463653606783936
"Gpsm3",-0.647251507652335,-0.637204093406496,-0.745933302202075,-0.769395551367455,-1.19029003973762,-1.21549533269002,-1.40638355908679,-1.37780044555808
"Gna15",-1.03619524443486,-0.801473557499438,-1.07210959612983,-0.971473925891767,-0.505341770194169,-0.517557777118413,-0.47190853006886,-0.581358055894649
"Unc13a",-0.799562237784192,-0.554059277835965,-0.408493878745896,-0.532180123365578,-1.81759635147154,-1.69121375272769,-1.55388336091174,-1.65910437053467
"Colgalt1",-0.676089490295873,-0.43955421179285,-0.405888481035096,-0.475632316505322,-1.64712213608964,-1.45302838345579,-1.36024351280508,-1.42939072392227
"Nup54",1.03589296742519,1.0770527253948,1.38669302730404,1.33679792590451,0.591317635988657,0.693539818885755,0.894478058932989,1.01295947178565
"Tet3",-0.741936510625406,-1.0769633367753,-0.832089613137251,-1.13943002347236,-0.114725251330063,-0.325041868210588,-0.133208758889924,0.0594619746419607
"Gnat1",0.80307905243512,0.567579494415742,0.418669921465005,1.17063032531139,0.620999845676825,0.0697082844286092,0.536643744275975,0.83547351435684
"Art3",4.65661135316125,4.28058097575483,4.63919065038241,4.68487689801488,4.53825552624713,4.19002444042192,4.46405500699366,4.10585858205155
"Cxcl10",3.59092327494126,3.15659380305605,3.64235900900929,3.68905116054028,3.3457487544501,3.07237217845848,3.45838955316034,3.14759521417367
"Fam214a",-1.89412199819443,-2.48153599060648,-1.28562108701943,-1.58962062740912,-2.05457236728103,-2.47192293121168,-2.15471288772943,-1.85135391490003
"Mrpl34",-0.7990960114522,-0.567767491739474,-0.932077711427689,-1.05962559897938,-0.822871824970332,-0.590368269748808,-0.937833561742924,-1.20052746656738
"Dhcr24",-0.119275737172392,-0.421404516084788,-0.219007488527521,-0.320170822826806,-1.12797918137942,-1.04405215178874,-1.08529176670201,-1.44176245449167
"Cog7",-0.422728866409961,-0.0980418423691263,-0.245889024745924,-0.278341808714432,-1.00346983627044,-0.814075903684229,-1.21831563755364,-1.41670939964589
"Cebpa",-2.68311614356462,-2.48959144442785,-2.58842845632215,-3.75467285392665,-2.22089200555638,-2.10250122045828,-2.40204051938046,-2.9799165809051
"Eef2",-0.187310678665408,-0.688154478893409,0.190836490017352,0.522419293357114,-0.542889968237592,-1.10869354221119,-0.021240594157403,0.148047571180324
"Htr2a",1.95836503202722,2.56475810849526,2.24784427442444,1.69357129231435,2.08803680387703,2.60909678662863,2.29183445662346,1.36324110074017
"Dpp4",-0.104444408101861,-0.11612012730256,-0.259202474332979,0.0127806216731581,-1.4955947953641,-1.26302081092413,-1.19442753002446,-0.922990594860534
"Baz1a",1.44425059668555,1.31786185400668,1.22361018246954,1.62861324978583,0.607652662432427,0.543533260994964,0.553857551775122,0.890901344121693
