"","sgCtu1-g1-R1-input","sgCtu1-g1-R2-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu1-g2-R1-input","sgCtu1-g2-R2-input","sgCtu1-g2-R1-polysome","sgCtu1-g2-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgCtu2-g2-R1-input","sgCtu2-g2-R2-input","sgCtu2-g2-R1-polysome","sgCtu2-g2-R2-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome","sgScr-g2-R1-input","sgScr-g2-R2-input","sgScr-g2-R1-polysome","sgScr-g2-R2-polysome"
"1810024B03Rik",15.5333717492897,7.88215648024179,14.5864306665059,9.95854536537067,16.4525870235816,13.8671491389208,11.1165042539286,9.58045656671605,12.9503900160904,13.281457680876,12.4447739804232,0,15.4338826656138,2.98890925338625,14.2927795054893,14.814511560014,12.7087419502523,11.7728072647876,13.0932627506484,16.1853513132091,11.6809702260883,8.24662489961179,11.4258749231794
"Snrnp200",22.2505054787123,26.9307013074928,21.1354403535085,17.0343539144498,21.7409185668756,23.1119152315346,25.1017837991935,22.8240288795294,24.1348177572593,19.3687924512775,20.2227577181876,0,19.1245937378258,20.4242132314727,12.5375258820082,19.7526820800187,22.0031950183473,22.4753593236854,24.5498676574657,25.7494225437418,22.4803577936039,19.2421247657608,21.0476643321726
"Ciao1",23.509968052979,8.53900285359527,24.4099451970098,23.0618945303321,23.7974919448233,24.2675109931113,19.0056363051036,22.5422507452142,20.9953292685102,25.456127221679,21.3894552788523,46.139037984478,23.8218623751865,22.4168194003969,19.5585403759328,21.0821895277123,20.6754160086194,10.7025520588978,22.9132098136347,24.8298003100367,21.378379470388,16.4932497992236,22.8517498463588
"Tmem127",19.3117594720899,21.6759303206649,19.3493468025078,20.4412246973398,17.9215680078299,15.5180002268875,22.5916054192742,17.1884661932259,19.6218030546824,18.4003528287137,22.9450520264052,0,21.9765068390805,18.4316070625486,18.5555383053721,16.1440190077076,24.658753037803,17.1240832942365,21.931215107336,20.4156135882524,16.5296748482381,15.1188123159549,15.6354077896139
"Stard7",39.2532502313132,35.469704161088,36.9126000540149,39.047980511585,39.9562827715552,34.8329579560986,37.2940787873732,30.9955947746696,34.1419373151474,41.2278582177193,32.2786325117225,92.2780759689559,42.107658142055,41.8447295474075,41.1230848929869,39.1255048892678,36.2293986940029,43.880463441481,37.3157988393479,31.4510803927132,35.263306342908,31.6120621151785,37.2844339598485
"Fahd2a",12.5946257426673,3.94107824012089,20.8377580950084,16.7722869311506,12.9270326613855,12.5464682685474,19.3642332165207,19.1609131334321,12.9503900160904,10.3761388131844,17.1115642230818,0,13.2530079411249,13.9482431824692,14.2927795054893,7.9770446861614,11.0015975091736,18.1943385001263,12.7659311818822,10.4836934642377,8.15463959179749,12.3699373494177,12.3279176802725
"Mrps5",32.3262060728461,22.3327766940184,61.6202275095248,62.6340090085155,31.1423968660651,34.8329579560986,41.2386448129608,85.6605528318141,34.3381553456942,35.8322660348634,47.056801613475,0,36.4038319395456,59.778185067725,55.4158643984762,32.0981083800304,22.9516085967243,52.4425050885992,72.9949398348647,32.1867781796772,30.6349973854014,39.8586870147903,58.9334601300832
"Mtln",102.016468515605,53.2045562416321,139.017614719556,116.357740584857,104.003853684783,106.810065391449,122.281546793214,110.45702865155,113.021585594971,101.132766299171,141.170404840425,0,106.695101905765,103.615520784057,161.483333360266,102.941862378559,99.9627911609398,127.360369500884,122.422006718562,106.676179109787,105.128732034795,111.329436144759,116.664196584042
"Bcl2l11",92.7804096376493,76.8510256823574,109.249388869544,107.447463152684,90.3423305312738,91.6222353821551,112.240833273537,96.9316782044212,82.6077908602129,84.8076412330937,104.224982086044,0,82.0344415596211,99.6303084462084,104.312215338308,106.740455086255,103.187397327422,147.69521841279,123.076669856095,94.7210900716216,91.4642008269177,96.2106238288042,93.2110848996213
"Morrbid",145.048106469719,122.173425443748,145.566624406559,130.509357683016,163.644481645267,163.104087491116,154.196671909332,115.529035069223,152.657627765429,154.258597022675,134.559118663325,0,156.016422598052,123.043430931067,155.716071454542,164.099204972463,147.573152795467,138.062921559782,128.313974956354,155.600081942897,149.648656292716,138.818185810132,153.347268705829
"Anapc1",15.1135508912008,18.3916984538975,13.6933838910055,12.8412821816622,17.7746699094051,14.8576597917008,14.343876456682,13.8071285814437,15.5012244131991,16.8785191361133,15.1670682886407,0,18.45355536106,16.9371524358554,15.0450310584098,21.0821895277123,17.0714444107867,18.1943385001263,21.931215107336,17.2888979936552,14.3257182018064,10.995499866149,16.537450546707
"Mertk",45.3406526736024,51.8908634949251,44.0569742580177,40.0962484447819,45.538410511699,44.2428091575091,40.5214509901267,34.3769323864517,44.541492934129,35.0021749298087,42.0011121839281,0,43.7852540839696,47.324396511949,38.8663302342254,59.0681166046713,58.9913245750518,64.2153123533868,48.445072177399,55.7291073625269,50.0298158740008,35.7353745649844,43.5987332595003
