"","sgCtu1-g1-R1-input","sgCtu1-g1-R1-polysome","sgCtu1-g1-R2-polysome","sgCtu2-g1-R1-input","sgCtu2-g1-R2-input","sgCtu2-g1-R1-polysome","sgScr-g1-R1-input","sgScr-g1-R2-input","sgScr-g1-R1-polysome","sgScr-g1-R2-polysome"
"Mrpl42",174.258985619078,132.489292635838,127.167502632177,191.931983855526,209.169904521079,130.2243842268,153.786610196813,158.277952438415,94.6080344055803,104.323831708587
"Ube2n",15.6751657624638,18.1452726870822,21.4530543058348,18.3536179882192,20.0813890294077,22.7135553883954,17.8303316170218,17.0710101105911,18.7136771351697,16.7550396380458
"Nudt4",50.0791010073519,57.3160200750691,54.7957531667106,52.1320851367502,48.2492434397851,57.9195662404083,52.7480643670228,50.2852580431542,46.7841928379243,58.4845723214805
"Eea1",47.4326444500528,52.1316564501885,61.2575165118415,43.9315324186097,46.7667247866073,52.2411773933095,50.8907381569164,39.337545037449,62.3789237838991,66.071760082105
"4930459C07Rik",10.5858262291963,10.3687272497612,10.85576241982,11.1293215460478,11.3210515333574,6.81406661651863,11.8868877446812,9.64883180163844,8.31718983785321,11.6969144642961
"Btg1",1022.14295186144,887.678260660115,913.434866467713,900.303537698709,803.525110022342,857.815275168401,935.163746788591,1025.93059675498,985.586995785605,902.875343514315
"Atp2b1",92.4224059241373,104.839353303141,115.794799144747,94.892110024197,82.7514957319219,93.1255770924213,107.167722323141,98.7149715090702,178.819581513844,126.453129343742
"Poc1b",8.75366399722005,12.384868659437,12.9235266902619,9.76256275969105,10.108081726212,9.46398141183143,12.4440856077131,13.5454754138386,8.31718983785321,12.3291801110148
"Kitl",9.16081115988145,11.8088282566725,9.04646868318335,10.3483165252725,8.6255630730342,7.57118512946514,11.3296898816493,10.2054951748099,10.3964872973165,7.90332058398385
"Nts",20.1537845517392,24.7697373188741,23.7792891100819,17.1821104570562,14.2860888397129,17.0351665412966,20.0591230691495,19.1121091455531,19.7533258649014,18.6518365782019
"Tmtc2",19.7466373890778,23.3296363119628,19.1268195015877,13.2770853531798,14.9599609547937,16.6566072848233,18.0160642380324,16.143237821972,17.6740284054381,22.7615632818735
"Ccdc59",69.4185912337683,113.479959344609,134.921618646335,82.0055271814048,74.6650303509523,120.760402814969,70.9498612260659,68.0984859846405,99.8062780542385,119.182074406476
"Ppp1r12a",49.4683802633598,60.1962220888917,57.380458504763,55.8418589854328,51.0795063231244,50.3483811109432,54.4196579561186,47.8730500927446,58.2203288649725,59.1168379681992
"Csrp2",7.53222250923586,10.3687272497612,10.85576241982,7.81005020775284,7.9516909579534,9.84254066830468,7.42930484042575,8.53550505529554,6.23789237838991,7.90332058398385
"Zdhhc17",8.55009041588935,7.77654543732093,8.27105708176763,9.76256275969105,9.56898403414732,8.70686289888491,8.9151658085109,10.9477130057052,11.4361360270482,9.16785187742127
"Osbpl8",166.930336691173,151.786646128449,164.387259500132,153.857989092731,140.03062551379,141.959721177471,155.458203785909,169.040110986397,179.859230243576,174.189185671004
"Nap1l1",160.619555669921,208.814646002136,206.25948597658,175.140375908857,173.993780113862,191.172424518995,159.730054069154,164.957912916473,184.017825162502,179.563443668113
"Phlda1",102.397511409342,65.9566261165368,78.058101209182,104.459421528694,87.064277268439,77.983206833491,96.3952303045241,97.2305358472797,65.497869973094,63.8588303185895
"Gm30624",12.825135623834,14.6890302704951,13.9574088254829,12.6913315875984,12.8035701865351,15.1423702589303,16.158738027926,11.3188219211528,6.23789237838991,13.9098442278116
"Krr1",33.793214500896,32.2582625548128,23.2623480424715,35.1452259348878,38.2759361365893,25.7420294401815,34.7320001289904,35.6264558829727,19.7533258649014,27.5035556322638
"Glipr1",372.74322741651,344.184140651797,373.48992134857,419.594947411521,452.976835757312,391.430271193348,346.019872942829,354.037905337041,295.260239243789,315.184424889276
"Atxn7l3b",39.4932747781556,52.9957170543352,51.952577294853,35.9262309556631,32.4806359468944,60.1909217792479,32.6889412978733,35.2553469675251,63.4185725136307,52.4780486776528
"Tbc1d15",25.6502712476681,21.6015151036693,25.3301123129134,23.6254018784523,26.1462380651349,21.5778776189757,24.3309733523943,23.0087527577532,21.8326233243647,22.1292976351548
"Rab21",49.0612331006984,48.0993736308369,55.5711647681263,47.6413062672923,40.7018757508801,49.5912625979967,46.4331552526609,42.4919708187539,61.3392750541674,49.3167204440592
"Tmem19",37.2539653835179,46.9472928253078,45.7492844835272,38.0739947627951,35.5804476762661,53.3768551627292,32.317476055852,34.5131291366298,42.6255979189977,42.0456655067941
"Lgr5",29.5181692929513,26.4978585271676,21.1945837720296,32.0212058517866,33.9631546000722,22.7135553883954,35.1034653710117,34.6986835943536,15.5947309459748,27.1874228089044
"Cnot2",33.1824937569039,25.3457777216386,29.4656408537972,33.3879646381434,35.9847709453146,30.6632997743338,32.6889412978733,38.5953272065538,34.3084080811445,26.8712899855451
"Cct2",101.379643502688,117.800262365343,111.917741137668,102.506908976756,106.741343028798,98.0468474265736,91.5661821582474,92.9627833196319,82.1322496488005,100.846370651634
"Frs2",14.0465771118182,11.5208080552903,13.1819972240672,16.2058541810871,13.6122167246321,10.2210999247779,16.7159358909579,15.2154655333529,13.5154334865115,19.2841022249206
